match_id,season,date,venue,team1,team2,winner,target_runs
211028,2005,2005-06-13,The Rose Bowl,England,Australia,England,180
211048,2005,2005-02-17,Eden Park,Australia,New Zealand,Australia,215
222678,2005,2005-10-21,New Wanderers Stadium,South Africa,New Zealand,New Zealand,134
225263,2006,2006-08-28,County Ground,England,Pakistan,Pakistan,145
225271,2006,2006-06-15,The Rose Bowl,Sri Lanka,England,Sri Lanka,164
226374,2006,2006-01-09,Brisbane Cricket Ground,Australia,South Africa,Australia,210
238195,2006,2006-02-24,New Wanderers Stadium,South Africa,Australia,South Africa,202
249227,2007,2007-01-09,Sydney Cricket Ground,Australia,England,Australia,222
251487,2006,2006-12-22,Westpac Stadium,New Zealand,Sri Lanka,Sri Lanka,45
251488,2006,2006-12-26,Eden Park,Sri Lanka,New Zealand,New Zealand,116
255954,2006,2006-12-01,New Wanderers Stadium,South Africa,India,India,127
258463,2007,2007-06-28,Kennington Oval,West Indies,England,West Indies,209
258464,2007,2007-06-29,Kennington Oval,West Indies,England,England,170
287853,2007,2007-09-11,New Wanderers Stadium,West Indies,South Africa,South Africa,206
287854,2007,2007-09-12,Kingsmead,Kenya,New Zealand,New Zealand,74
287855,2007,2007-09-12,Kingsmead,Pakistan,Scotland,Pakistan,172
287856,2007,2007-09-12,Newlands,Australia,Zimbabwe,Zimbabwe,139
287857,2007,2007-09-13,New Wanderers Stadium,West Indies,Bangladesh,Bangladesh,165
287858,2007,2007-09-13,Newlands,England,Zimbabwe,England,189
287860,2007,2007-09-14,New Wanderers Stadium,Sri Lanka,Kenya,Sri Lanka,261
287861,2007,2007-09-14,Newlands,England,Australia,Australia,136
287863,2007,2007-09-15,New Wanderers Stadium,New Zealand,Sri Lanka,Sri Lanka,165
287864,2007,2007-09-15,Newlands,Bangladesh,South Africa,South Africa,145
287865,2007,2007-09-16,New Wanderers Stadium,New Zealand,India,New Zealand,191
287866,2007,2007-09-16,Newlands,Bangladesh,Australia,Australia,124
287867,2007,2007-09-16,Newlands,South Africa,England,South Africa,155
287868,2007,2007-09-17,New Wanderers Stadium,Pakistan,Sri Lanka,Pakistan,190
287869,2007,2007-09-18,Kingsmead,New Zealand,England,New Zealand,165
287870,2007,2007-09-18,New Wanderers Stadium,Australia,Pakistan,Pakistan,165
287871,2007,2007-09-18,New Wanderers Stadium,Sri Lanka,Bangladesh,Sri Lanka,148
287872,2007,2007-09-19,Kingsmead,New Zealand,South Africa,South Africa,154
287873,2007,2007-09-19,Kingsmead,India,England,India,219
